ID,Gender,Age,StudentId,Attendance,TestScore
0,male,58,81 gn,0.81,64.76
1,male,54,02 Wd,0.55,35.11
2,male,50,83 Kc,0.62,60.24
3,male,34,43 RB,0.84,69.97
4,male,58,61 sy,0.59,36.89
5,female,74,60 IQ,0.73,54.9
6,male,55,43 iR,0.79,68.51
7,male,57,50 Ui,0.58,52.56
8,male,71,79 ML,0.9,66.15
9,female,25,72 lt,0.81,73.38
10,male,32,81 hD,0.7,43.13
11,male,38,94 jl,0.95,95.51
12,male,54,53 BG,0.58,48.25
13,male,57,89 GK,0.68,55.06
14,female,45,63 xt,0.63,70.67
15,female,43,42 hE,0.75,65.46
16,male,44,07 lF,0.39,18.54
17,male,67,87 tH,0.49,31.44
18,female,39,44 Rq,0.87,82.97
19,female,48,74 Iq,0.59,47.69
20,female,59,77 eV,0.5,58.13
21,female,38,92 Vr,0.81,61.87
22,male,42,69 mW,0.81,73.11
23,female,39,50 mH,0.82,88.67
24,male,49,87 gW,0.75,73.41
25,male,59,99 Cz,0.7,52.23
26,male,25,97 ep,0.83,57.78
27,male,35,35 sX,0.79,51.72
28,female,68,05 GH,0.75,55.02
29,female,52,61 pT,0.64,59.67
30,female,45,49 Sx,0.78,60.12
31,male,60,34 mx,0.59,56.74
32,male,34,43 lP,0.77,61.49
33,male,65,70 FO,0.93,99.65
34,female,52,88 rp,0.82,72.61
35,male,58,05 Mp,0.51,44.15
36,female,14,87 Va,0.78,73.46
37,female,37,75 jK,0.83,59.76
38,male,50,45 fk,0.82,67.12
39,female,30,53 jA,0.59,57.61
40,female,60,21 AF,0.8,57.81
41,male,65,45 Wn,0.79,54.33
42,female,66,45 Of,0.47,44.17
43,female,62,75 FZ,0.73,59.15
44,male,61,47 eF,0.83,85.31
45,male,49,90 df,0.72,55.15
46,female,33,95 iY,0.97,65.24
47,male,37,35 pZ,0.52,22.53
48,female,49,65 VL,0.95,96.66
49,female,2,13 PY,0.88,84.86
50,female,50,33 RQ,0.64,64.38
51,female,29,63 aa,0.82,63.9
52,female,63,07 wk,0.85,62.53
53,female,42,18 ps,0.39,29.73
54,female,73,43 gq,0.85,66.75
55,female,56,23 XX,0.83,81.35
56,male,35,48 pV,0.89,95.87
57,male,59,26 hH,0.63,46.61
58,male,66,77 zt,0.81,55.52
59,female,54,62 sf,0.93,85.68
60,male,45,86 sL,0.9,64.23
61,female,43,35 ZJ,0.64,39.27
62,female,45,30 aD,0.87,67.62
63,female,62,12 SI,0.82,78.95
64,female,63,87 Ah,0.55,46.29
65,male,62,55 JG,0.6,51.56
66,male,87,24 Np,0.92,86.99
67,female,75,11 sf,0.57,47.92
68,female,42,44 Cz,0.68,64.87
69,male,33,62 Df,0.55,39.48
70,male,46,20 LU,0.21,0.01
71,female,64,74 Su,0.78,71.11
72,male,72,55 UC,0.98,84.09
73,male,75,17 VF,0.95,84.78
74,male,62,87 rT,0.96,93.72
75,male,21,12 dp,0.76,60.08
76,male,38,95 mc,0.7,55.72
77,male,41,49 oV,0.6,69.06
78,male,43,90 wM,0.69,56.34
79,male,37,71 tR,0.51,45.73
80,male,56,92 jr,0.77,62.7
81,female,29,14 yf,0.63,57.92
82,male,62,29 Cd,0.75,52.76
83,female,63,19 et,0.73,54.79
84,male,30,91 gc,0.5,46.04
85,female,37,74 ie,0.87,88.3
